starNumber,B,V,V_corrected,B-V,B-V_corrected
295,17.966,16.585,15.625,1.381,1.081
296,17.068,16.15,15.19,0.918,0.618
297,17.031,16.333,15.373,0.698,0.398
298,18.325,17.619,16.659,0.706,0.406
299,15.934,15.333,14.373,0.601,0.301
300,15.365,14.81,13.85,0.555,0.255
301,16.538,15.413,14.453,1.125,0.825
302,17.199,16.499,15.539,0.7,0.4
303,17.445,16.412,15.452,1.033,0.733
304,17.314,16.598,15.638,0.716,0.416
305,18.599,17.581,16.621,1.018,0.718
306,17.037,16.034,15.074,1.003,0.703
307,17.113,16.422,15.462,0.691,0.391
308,17.936,17.08,16.12,0.856,0.556
309,,,,,
310,18.079,16.856,15.896,1.223,0.923
311,16.591,15.929,14.969,0.662,0.362
312,14.818,13.691,12.731,1.127,0.827
313,16.803,16.218,15.258,0.585,0.285
314,16.47,15.673,14.713,0.797,0.497
315,,,,,
316,19.046,17.605,16.645,1.441,1.141
317,18.085,17.587,16.627,0.498,0.198
318,15.767,15.173,14.213,0.594,0.294
319,18.363,17.413,16.453,0.95,0.65
320,16.132,15.51,14.55,0.622,0.322
321,17.555,16.848,15.888,0.707,0.407
322,16.56,15.586,14.626,0.974,0.674
323,17.805,17.191,16.231,0.614,0.314
324,16.895,16.161,15.201,0.734,0.434
325,15.167,14.61,13.65,0.557,0.257
326,13.912,12.747,11.787,1.165,0.865
327,17.957,16.795,15.835,1.162,0.862
328,17.499,16.506,15.546,0.993,0.693
329,16.074,15.405,14.445,0.669,0.369
330,18.05,17.274,16.314,0.776,0.476
331,18.167,17.339,16.379,0.828,0.528
332,16.216,15.335,14.375,0.881,0.581
333,16.221,15.545,14.585,0.676,0.376
334,16.818,16.419,15.459,0.399,0.099
335,17.127,16.341,15.381,0.786,0.486
336,19.183,17.246,16.286,1.937,1.637
337,17.749,17.117,16.157,0.632,0.332
338,19.129,17.751,16.791,1.378,1.078
339,15.914,15.174,14.214,0.74,0.44
340,15.941,14.347,13.387,1.594,1.294
341,15.372,14.885,13.925,0.487,0.187
342,15.003,13.846,12.886,1.157,0.857
343,16.108,15.448,14.488,0.66,0.36
344,16.838,15.758,14.798,1.08,0.78
345,18.362,17.511,16.551,0.851,0.551
346,15.109,13.944,12.984,1.165,0.865
347,17.282,16.524,15.564,0.758,0.458
348,14.665,14.025,13.065,0.64,0.34
349,18.961,17.855,16.895,1.106,0.806
350,16.668,16.002,15.042,0.666,0.366
351,19.265,18.004,17.044,1.261,0.961
352,17.338,16.593,15.633,0.745,0.445
353,18.487,17.824,16.864,0.663,0.363
354,18.587,17.581,16.621,1.006,0.706
355,14.969,14.434,13.474,0.535,0.235
356,16.568,15.909,14.949,0.659,0.359
357,18.371,17.326,16.366,1.045,0.745
358,18.169,17.306,16.346,0.863,0.563
359,18.342,17.103,16.143,1.239,0.939
360,16.069,15.42,14.46,0.649,0.349
361,20.103,18.229,17.269,1.874,1.574
362,18.233,17.321,16.361,0.912,0.612
363,18.607,17.783,16.823,0.824,0.524
364,18.917,17.988,17.028,0.929,0.629
365,16.929,16.199,15.239,0.73,0.43
366,18.628,17.501,16.541,1.127,0.827
367,16.761,16.096,15.136,0.665,0.365
368,17.979,17.178,16.218,0.801,0.501
369,19.131,18.257,17.297,0.874,0.574
370,15.334,14.758,13.798,0.576,0.276
371,17.593,16.82,15.86,0.773,0.473
372,18.9,17.897,16.937,1.003,0.703
373,16.968,15.954,14.994,1.014,0.714
374,17.52,16.796,15.836,0.724,0.424
375,15.478,14.61,13.65,0.868,0.568
376,,,,,
377,16.052,15.427,14.467,0.625,0.325
378,18.219,17.47,16.51,0.749,0.449
379,16.154,15.518,14.558,0.636,0.336
380,14.68,14.066,13.106,0.614,0.314
381,16.157,15.499,14.539,0.658,0.358
382,14.472,13.107,12.147,1.365,1.065
383,15.133,14.514,13.554,0.619,0.319
384,18.788,17.736,16.776,1.052,0.752
385,16.979,16.293,15.333,0.686,0.386
386,,,,,
387,15.356,14.809,13.849,0.547,0.247
388,17.108,16.335,15.375,0.773,0.473
389,18.961,17.979,17.019,0.982,0.682
390,17.719,16.903,15.943,0.816,0.516
391,19.05,18.06,17.1,0.99,0.69
392,18.686,17.77,16.81,0.916,0.616
393,15.206,14.396,13.436,0.81,0.51
394,18.234,17.355,16.395,0.879,0.579
395,15.052,13.9,12.94,1.152,0.852
396,17.168,16.357,15.397,0.811,0.511
397,16.847,16.153,15.193,0.694,0.394
398,17.669,16.625,15.665,1.044,0.744
399,18.049,17.215,16.255,0.834,0.534
400,16.822,16.123,15.163,0.699,0.399
401,17.528,16.652,15.692,0.876,0.576
402,18.741,17.731,16.771,1.01,0.71
403,17.491,16.755,15.795,0.736,0.436
404,15.196,14.676,13.716,0.52,0.22
405,18.115,17.195,16.235,0.92,0.62
406,15.46,14.336,13.376,1.124,0.824
407,17.821,16.928,15.968,0.893,0.593
408,16.275,15.64,14.68,0.635,0.335
409,16.515,15.89,14.93,0.625,0.325
410,17.249,16.162,15.202,1.087,0.787
411,18.295,17.732,16.772,0.563,0.263
412,13.877,13.337,12.377,0.54,0.24
