,starNumber,B,V,V_corrected,B-V,B-V_corrected,spectral type
156,157.0,17.04,16.315,15.355,1.685,1.385,K
157,158.0,16.389,15.747,14.787,1.602,1.302,K
158,159.0,16.986,16.288,15.328,1.658,1.358,K
159,160.0,14.446,13.254,12.294,2.152,1.852,M
160,161.0,17.176,16.441,15.481,1.695,1.395,K
161,162.0,14.687,13.528,12.568,2.119,1.819,M
162,163.0,15.207,14.7,13.74,1.467,1.167,K
163,164.0,18.297,17.381,16.421,1.876,1.576,K
164,165.0,18.072,17.925,16.965,1.107,0.807,G
165,166.0,15.862,14.457,13.497,2.365,2.065,M
166,167.0,16.044,15.438,14.478,1.566,1.266,K
167,168.0,15.068,14.268,13.308,1.76,1.46,K
168,169.0,17.161,16.493,15.533,1.628,1.328,K
169,170.0,18.469,17.773,16.813,1.656,1.356,K
170,171.0,19.303,18.087,17.127,2.176,1.876,M
171,172.0,18.306,17.57,16.61,1.696,1.396,K
172,173.0,16.459,15.725,14.765,1.694,1.394,K
173,174.0,16.679,15.975,15.015,1.664,1.364,K
174,175.0,15.274,14.388,13.428,1.846,1.546,K
175,176.0,,,,,,[UNK]
176,177.0,15.451,14.902,13.942,1.509,1.209,K
177,178.0,18.365,17.586,16.626,1.739,1.439,K
178,179.0,18.832,17.562,16.602,2.23,1.93,M
179,180.0,14.577,14.028,13.068,1.509,1.209,K
180,181.0,13.98,13.408,12.448,1.532,1.232,K
181,182.0,13.872,12.961,12.001,1.871,1.571,K
182,183.0,15.814,15.146,14.186,1.628,1.328,K
183,184.0,16.409,15.286,14.326,2.083,1.783,M
184,185.0,15.969,15.351,14.391,1.578,1.278,K
185,186.0,15.588,14.769,13.809,1.779,1.479,K
186,187.0,14.805,14.223,13.263,1.542,1.242,K
187,188.0,16.487,16.811,15.851,0.636,0.336,A
188,189.0,16.594,15.933,14.973,1.621,1.321,K
189,190.0,14.875,14.312,13.352,1.523,1.223,K
190,191.0,15.616,15.045,14.085,1.531,1.231,K
191,192.0,18.951,17.61,16.65,2.301,2.001,M
192,193.0,18.213,17.728,16.768,1.445,1.145,K
193,194.0,15.36,14.815,13.855,1.505,1.205,K
194,195.0,18.324,17.371,16.411,1.913,1.613,M
195,196.0,17.092,16.368,15.408,1.684,1.384,K
196,197.0,17.426,16.634,15.674,1.752,1.452,K
197,198.0,17.691,16.899,15.939,1.752,1.452,K
198,199.0,17.427,16.484,15.524,1.903,1.603,M
199,200.0,14.712,14.273,13.313,1.399,1.099,K
200,201.0,16.673,16.449,15.489,1.184,0.884,G
201,202.0,16.407,15.627,14.667,1.74,1.44,K
202,203.0,18.686,17.329,16.369,2.317,2.017,M
203,204.0,16.766,15.952,14.992,1.774,1.474,K
204,205.0,17.447,16.506,15.546,1.901,1.601,M
205,206.0,17.98,16.772,15.812,2.168,1.868,M
206,207.0,18.535,18.054,17.094,1.441,1.141,K
207,208.0,19.282,16.794,15.834,3.448,3.148,M
208,209.0,16.445,15.285,14.325,2.12,1.82,M
209,210.0,15.054,14.495,13.535,1.519,1.219,K
210,211.0,17.296,17.121,16.161,1.135,0.835,G
211,212.0,16.989,16.295,15.335,1.654,1.354,K
212,213.0,17.221,16.476,15.516,1.705,1.405,K
213,214.0,16.184,15.658,14.698,1.486,1.186,K
214,215.0,13.862,13.385,12.425,1.437,1.137,K
215,216.0,15.954,15.53,14.57,1.384,1.084,K
216,217.0,15.663,14.993,14.033,1.63,1.33,K
217,218.0,17.721,16.793,15.833,1.888,1.588,K
218,219.0,17.145,16.4,15.44,1.705,1.405,K
219,220.0,15.838,15.178,14.218,1.62,1.32,K
220,221.0,17.501,16.803,15.843,1.658,1.358,K
221,222.0,18.486,17.876,16.916,1.57,1.27,K
222,223.0,14.858,13.897,12.937,1.921,1.621,M
223,224.0,15.459,14.851,13.891,1.568,1.268,K
224,225.0,15.055,14.474,13.514,1.541,1.241,K
225,226.0,15.62,15.035,14.075,1.545,1.245,K
226,227.0,14.79,14.212,13.252,1.538,1.238,K
227,228.0,17.349,16.509,15.549,1.8,1.5,K
228,229.0,16.37,15.414,14.454,1.916,1.616,M
229,230.0,15.974,14.725,13.765,2.209,1.909,M
230,231.0,18.161,17.5,16.54,1.621,1.321,K
231,232.0,16.991,16.328,15.368,1.623,1.323,K
232,233.0,17.548,16.833,15.873,1.675,1.375,K
233,234.0,14.878,14.25,13.29,1.588,1.288,K
234,235.0,18.252,17.277,16.317,1.935,1.635,M
235,236.0,15.121,13.923,12.963,2.158,1.858,M
236,237.0,18.085,17.348,16.388,1.697,1.397,K
237,238.0,16.94,16.187,15.227,1.713,1.413,K
238,239.0,17.967,17.231,16.271,1.696,1.396,K
239,240.0,16.19,15.383,14.423,1.767,1.467,K
240,241.0,16.967,16.236,15.276,1.691,1.391,K
241,242.0,17.554,16.737,15.777,1.777,1.477,K
242,243.0,16.898,16.232,15.272,1.626,1.326,K
243,244.0,17.207,16.233,15.273,1.934,1.634,M
244,245.0,16.595,15.922,14.962,1.633,1.333,K
245,246.0,18.786,18.057,17.097,1.689,1.389,K
246,247.0,15.587,14.951,13.991,1.596,1.296,K
247,248.0,16.416,15.364,14.404,2.012,1.712,M
