starNumber,B,V
391,19.05,18.06
392,18.686,17.77
393,15.206,14.396
394,18.234,17.355
395,15.052,13.9
396,17.168,16.357
397,16.847,16.153
398,17.669,16.625
399,18.049,17.215
400,16.822,16.123
401,17.528,16.652
402,18.741,17.731
403,17.491,16.755
404,15.196,14.676
405,18.115,17.195
406,15.46,14.336
407,17.821,16.928
408,16.275,15.64
409,16.515,15.89
410,17.249,16.162
411,18.295,17.732
412,13.877,13.337
413,15.857,15.3
414,16.974,16.27
415,19.527,17.661
416,17.994,17.122
417,16.961,16.274
418,19.282,17.762
419,15.276,14.72
420,17.071,15.929
421,15.027,14.329
422,15.006,14.518
423,16.913,16.137
424,16.331,15.638
425,19.061,18.739
426,17.643,17.236
427,17.222,16.631
428,17.556,17.144
429,18.017,17.729
430,16.571,15.963
431,17.233,16.831
432,15.978,15.336
433,17.572,17.083
434,16.887,16.224
435,19.533,18.894
436,20.734,20.158
437,17.344,16.839
438,18.243,17.491
439,17.014,16.72
440,16.576,15.884
441,18.017,17.763
442,20.062,19.572
443,17.214,16.349
444,17.418,17.102
445,16.599,15.892
446,15.968,15.219
447,20.591,19.958
448,17.318,16.829
449,16.031,15.711
450,19.737,19.261
451,16.513,16.038
452,15.689,15.372
453,16.865,16.319
454,16.773,16.473
455,15.842,15.217
456,16.907,16.562
457,17.303,16.904
458,18.079,17.738
459,16.609,16.142
460,16.541,16.082
461,16.312,15.392
462,17.723,16.603
463,15.814,15.302
464,17.371,16.823
465,16.285,15.928
466,17.664,17.266
467,18.695,18.104
468,18.913,18.379
469,17.371,16.432
470,18.869,18.095
471,18.832,18.283
472,18.079,17.492
473,16.641,15.937
474,18.079,17.374
475,17.371,16.881
476,16.858,16.194
477,19.519,19.028
478,19.718,18.877
479,18.497,17.828
480,16.281,15.936
481,17.834,17.492
482,17.723,16.948
483,17.105,16.803
484,17.942,17.291
485,16.764,15.849
486,17.105,16.302
487,18.421,17.391
488,20.102,19.838
489,19.649,19.411
490,18.746,18.029
491,17.621,16.845
492,,
493,18.046,17.492
494,16.546,16.074
495,16.435,15.829
496,16.183,15.683
497,16.821,16.339
498,14.469,13.762
499,16.546,16.042
500,15.528,14.804
501,16.572,15.968
502,14.896,14.211
503,18.374,17.964
504,19.342,18.774
505,15.631,15.049
506,15.528,14.893
